taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	namePublishedInID	scientificName	acceptedNameUsage	parentNameUsage	namePublishedIn	namePublishedInYear	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	modified	bibliographicCitation	references	license	rightsHolder	datasetName	institutionCode	datasetID
urn:lsid:marinespecies.org:taxname:190	urn:lsid:marinespecies.org:taxname:190	urn:lsid:marinespecies.org:taxname:190	urn:lsid:marinespecies.org:taxname:189	https://doi.org/10.5962/bhl.title.11523	Flabellinidae	Flabellinidae	Aeolidioidea	Carus J. V. (1889-1893). Prodromus faunae mediterraneae sive descriptio animalium maris mediterranei incolarum... Vol. 2: Brachiostomata. Mollusca. Tunicata. Vertebrata.. <i>Stuttgart, E. Schweitzerbart vol. 2, IX + 854 pp  [p. 1-272 issued 1889]</i>: 	1885	Animalia	Mollusca	Gastropoda	Nudibranchia	Flabellinidae					Family	Bergh, 1889	ICZN	accepted		2021-12-29	MolluscaBase eds. (2023). MolluscaBase. Flabellinidae Bergh, 1889. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=190	https://www.marinespecies.org/aphia.php?p=taxdetails&id=190					
urn:lsid:marinespecies.org:taxname:191	urn:lsid:marinespecies.org:taxname:191	urn:lsid:marinespecies.org:taxname:191	urn:lsid:marinespecies.org:taxname:189		Facelinidae	Facelinidae	Aeolidioidea			Animalia	Mollusca	Gastropoda	Nudibranchia	Facelinidae					Family	Bergh, 1889	ICZN	accepted		2011-04-30	MolluscaBase eds. (2023). MolluscaBase. Facelinidae Bergh, 1889. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=191	https://www.marinespecies.org/aphia.php?p=taxdetails&id=191					
urn:lsid:marinespecies.org:taxname:192	urn:lsid:marinespecies.org:taxname:192	urn:lsid:marinespecies.org:taxname:192	urn:lsid:marinespecies.org:taxname:189		Aeolidiidae	Aeolidiidae	Aeolidioidea			Animalia	Mollusca	Gastropoda	Nudibranchia	Aeolidiidae					Family	Gray, 1827	ICZN	accepted		2010-10-17	MolluscaBase eds. (2023). MolluscaBase. Aeolidiidae Gray, 1827. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=192	https://www.marinespecies.org/aphia.php?p=taxdetails&id=192					
urn:lsid:marinespecies.org:taxname:193	urn:lsid:marinespecies.org:taxname:193	urn:lsid:marinespecies.org:taxname:193	urn:lsid:marinespecies.org:taxname:412646		Eubranchidae	Eubranchidae	Fionoidea	Odhner N. H. (1934). The Nudibranchiata of British Antarctic Expedition. <i>British Antarctic ("Terra Nova") Expedition, 1910. Natural history reports. Zoology. 7</i>:  229-310	1934	Animalia	Mollusca	Gastropoda	Nudibranchia	Eubranchidae					Family	Odhner, 1934	ICZN	accepted		2017-09-28	MolluscaBase eds. (2023). MolluscaBase. Eubranchidae Odhner, 1934. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=193	https://www.marinespecies.org/aphia.php?p=taxdetails&id=193					
urn:lsid:marinespecies.org:taxname:194	urn:lsid:marinespecies.org:taxname:194	urn:lsid:marinespecies.org:taxname:194	urn:lsid:marinespecies.org:taxname:412646		Tergipedidae	Tergipedidae	Fionoidea			Animalia	Mollusca	Gastropoda	Nudibranchia	Tergipedidae					Family	Bergh, 1889	ICZN	accepted		2017-09-28	MolluscaBase eds. (2023). MolluscaBase. Tergipedidae Bergh, 1889. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=194	https://www.marinespecies.org/aphia.php?p=taxdetails&id=194					
urn:lsid:marinespecies.org:taxname:197	urn:lsid:marinespecies.org:taxname:197	urn:lsid:marinespecies.org:taxname:382243	urn:lsid:marinespecies.org:taxname:1057250		Basommatophora	Hygrophila	Tectipleura			Animalia	Mollusca	Gastropoda							Superorder	W. Keferstein, 1865	ICZN	unaccepted		2023-01-27	MolluscaBase eds. (2023). MolluscaBase. Basommatophora. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=197	https://www.marinespecies.org/aphia.php?p=taxdetails&id=197					
urn:lsid:marinespecies.org:taxname:198	urn:lsid:marinespecies.org:taxname:198	urn:lsid:marinespecies.org:taxname:198	urn:lsid:marinespecies.org:taxname:382241		Ellobiidae	Ellobiidae	Ellobioidea			Animalia	Mollusca	Gastropoda	Ellobiida	Ellobiidae					Family	L. Pfeiffer, 1854 (1822)	ICZN	accepted		2013-08-07	MolluscaBase eds. (2023). MolluscaBase. Ellobiidae L. Pfeiffer, 1854 (1822). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=198	https://www.marinespecies.org/aphia.php?p=taxdetails&id=198					
urn:lsid:marinespecies.org:taxname:200	urn:lsid:marinespecies.org:taxname:200	urn:lsid:marinespecies.org:taxname:200	urn:lsid:marinespecies.org:taxname:104		Dentaliida	Dentaliida	Scaphopoda			Animalia	Mollusca	Scaphopoda	Dentaliida						Order	Starobogatov, 1974	ICZN	accepted		2009-01-14	MolluscaBase eds. (2023). MolluscaBase. Dentaliida. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=200	https://www.marinespecies.org/aphia.php?p=taxdetails&id=200					
urn:lsid:marinespecies.org:taxname:202	urn:lsid:marinespecies.org:taxname:202	urn:lsid:marinespecies.org:taxname:202	urn:lsid:marinespecies.org:taxname:200		Dentaliidae	Dentaliidae	Dentaliida			Animalia	Mollusca	Scaphopoda	Dentaliida	Dentaliidae					Family	Children, 1834	ICZN	accepted		2008-12-14	MolluscaBase eds. (2023). MolluscaBase. Dentaliidae Children, 1834. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=202	https://www.marinespecies.org/aphia.php?p=taxdetails&id=202					
urn:lsid:marinespecies.org:taxname:203	urn:lsid:marinespecies.org:taxname:203	urn:lsid:marinespecies.org:taxname:203	urn:lsid:marinespecies.org:taxname:106		Nuculanida	Nuculanida	Protobranchia	Carter, J. G.; Campbell, D. C.; Campbell, M. R. (2000). Cladistic  perspectives on early bivalve evolution. <em>In E. M. Harper, J. D. Taylor, & J. A. Crame, eds., The Evolutionary Biology of the Bivalvia. The Geological Society of London, Special Publication.</em> 177:47–79.	2000	Animalia	Mollusca	Bivalvia	Nuculanida						Order	J. G. Carter, D. C. Campbell & M. R. Campbell, 2000	ICZN	accepted		2022-08-16	MolluscaBase eds. (2023). MolluscaBase. Nuculanida. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=203	https://www.marinespecies.org/aphia.php?p=taxdetails&id=203					
urn:lsid:marinespecies.org:taxname:204	urn:lsid:marinespecies.org:taxname:204	urn:lsid:marinespecies.org:taxname:204	urn:lsid:marinespecies.org:taxname:14656		Nuculidae	Nuculidae	Nuculoidea	Gray, J. E. (1824). Shells. in: Parry W.E. (ed.) Supplement to Appendix, <i>Parry's Voyage for the Discovery of a north-west passage in the years 1819-1820, contaning an account of the subjects of Natural History</i>. London: John Murray Appendix 10, Zool.: 240-246. 	1824	Animalia	Mollusca	Bivalvia	Nuculida	Nuculidae					Family	Gray, 1824	ICZN	accepted		2023-02-01	MolluscaBase eds. (2023). MolluscaBase. Nuculidae Gray, 1824. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=204	https://www.marinespecies.org/aphia.php?p=taxdetails&id=204					
